Order ID,Product ID,Sales,Quantity,Discount,Profit
CA-2017-126221,OFF-AP-10002457,209.3,2,0.0,125.58
CA-2017-146626,FUR-FU-10002501,101.12,8,0.0,60.672
CA-2017-164826,OFF-LA-10001297,72.45,7,0.0,43.47
CA-2017-164826,OFF-FA-10000585,13.96,4,0.0,8.376
CA-2017-164826,OFF-BI-10001922,33.264,7,0.2,19.9584
CA-2017-164826,TEC-PH-10000347,14.85,3,0.0,8.91
CA-2017-158673,OFF-PA-10000994,209.7,2,0.0,125.82
CA-2017-143259,FUR-BO-10003441,323.136,4,0.2,193.88160000000002
CA-2017-143259,TEC-PH-10004774,90.93,7,0.0,54.558
CA-2017-143259,OFF-BI-10003684,52.776,3,0.2,31.6656
CA-2017-115427,OFF-BI-10002103,13.904,2,0.2,8.3424
CA-2017-115427,OFF-BI-10004632,20.72,2,0.2,12.431999999999999
CA-2017-127516,OFF-ST-10000736,64.784,1,0.2,38.870400000000004
CA-2017-156720,OFF-FA-10003472,3.024,3,0.2,1.8144
CA-2017-163979,OFF-ST-10003208,725.84,4,0.0,435.504
CA-2017-118885,FUR-CH-10002880,393.568,4,0.2,236.14079999999998
CA-2017-118885,TEC-PH-10002563,302.376,3,0.2,181.42559999999997
CA-2017-129805,FUR-FU-10001935,7.4,2,0.0,4.44
CA-2017-130631,OFF-FA-10000089,19.6,5,0.0,11.76
CA-2017-130631,FUR-FU-10004093,68.46,2,0.0,41.07599999999999
CA-2017-135111,OFF-AR-10004707,2.48,1,0.0,1.488
CA-2017-135111,OFF-BI-10004040,25.9,5,0.0,15.54
CA-2017-136539,OFF-AR-10001958,27.168,2,0.2,16.3008
CA-2017-136539,FUR-BO-10004709,78.8528,2,0.32,47.31168
US-2017-106705,OFF-PA-10001509,44.75,5,0.0,26.849999999999998
CA-2017-163860,OFF-BI-10003784,1.68,5,0.8,1.008
CA-2017-163860,FUR-FU-10004586,7.968,3,0.6,4.7808
